Customer ID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Satisfaction_Score,Referral_Source,Loyalty_Tier,Customer_Lifetime_Value,Engagement Count,Churn_B,Partner_B,Dependents_B,PhoneService_B,PaperlessBilling_B,Tenure_Bucket,Internet Service_B,Online Security_B,DeviceProtection_B,TechSupport_B,StreamingTV_B,StreamingMovies_B,Payment_Method_E,Internet Service_E
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,4,Advertisement,Bronze,29.00,1,0,1,0,0,1,0-9,1,0,0,0,0,0,EC,D
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,5,Retail,Silver,1761.09,3,0,0,0,1,0,30-39,1,1,1,0,0,0,MC,D
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,3,Online,Bronze,122.62,2,1,0,0,1,1,0-9,1,1,0,0,0,0,MC,D
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,5,Friend,Gold,1910.05,4,0,0,0,0,0,40-49,1,1,1,1,0,0,BT,D
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,5,Retail,Bronze,151.32,1,1,0,0,1,1,0-9,1,0,0,0,0,0,EC,FO
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,2,Advertisement,Bronze,775.93,4,1,0,0,1,1,0-9,1,0,1,0,1,1,EC,FO
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,3,Online,Silver,1875.01,2,0,0,1,1,1,20-29,1,0,0,0,1,0,CC,FO
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,3,Advertisement,Bronze,289.21,2,0,0,0,0,0,10-19,1,1,0,0,0,0,MC,D
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,3,Friend,Silver,2854.46,5,1,1,0,1,1,20-29,1,0,1,1,1,1,EC,FO
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,5,Retail,Gold,3527.44,2,0,0,1,1,0,60-69,1,1,0,0,0,0,BT,D
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,4,Retail,Silver,657.82,2,0,1,1,1,1,10-19,1,1,0,0,0,0,MC,D
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,3,Retail,Silver,302.94,0,0,0,0,1,0,10-19,0,0,0,0,0,0,CC,No
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,5,Retail,Gold,5182.60,4,0,1,0,1,0,50-59,1,0,1,0,1,1,CC,FO
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,2,Online,Gold,5075.32,4,1,0,0,1,1,40-49,1,0,1,0,1,1,BT,FO
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,4,Online,Silver,2375.68,6,0,0,0,1,1,20-29,1,1,1,1,1,1,EC,FO
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,2,Advertisement,Gold,6937.81,6,0,1,1,1,0,60-69,1,1,1,1,1,1,CC,FO
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,4,Online,Gold,1213.17,0,0,0,0,1,0,50-59,0,0,0,0,0,0,MC,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,5,Friend,Gold,7814.22,5,0,0,1,1,0,70-79,1,1,1,0,1,1,BT,FO
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,Friend,Bronze,578.41,3,1,1,1,1,0,10-19,1,0,1,1,0,0,CC,D
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,4,Retail,Silver,1835.34,3,0,0,0,1,1,20-29,1,0,1,0,0,1,EC,FO
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,2,Friend,Bronze,44.51,3,1,0,0,0,1,0-9,1,0,1,0,0,1,EC,D
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,5,Advertisement,Bronze,247.43,0,0,1,0,1,0,10-19,0,0,0,0,0,0,BT,No
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,4,Online,Bronze,21.78,0,1,0,0,1,0,0-9,0,0,0,0,0,0,MC,No
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,1,Online,Gold,3337.21,2,0,1,0,1,1,50-59,1,0,0,1,0,0,CC,D
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,1,Online,Gold,3323.43,3,0,1,1,1,0,40-49,1,1,0,1,0,0,CC,D
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,3,Friend,Silver,1818.49,2,0,0,0,1,1,30-39,1,1,0,0,0,0,BT,D
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,3,Online,Gold,5165.27,3,1,1,1,1,1,40-49,1,0,0,0,1,1,EC,FO
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,2,Retail,Bronze,27.23,1,1,1,1,0,0,0-9,1,0,0,0,0,0,EC,D
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,4,Retail,Gold,6051.52,6,0,1,0,1,1,70-79,1,1,1,1,1,1,CC,D
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,4,Retail,Silver,1029.16,3,1,0,1,1,1,10-19,1,0,0,0,1,1,MC,D
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,3,Friend,Gold,6370.70,4,0,1,0,1,1,70-79,1,1,1,1,0,0,CC,FO
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,4,Online,Bronze,211.36,4,0,1,0,1,1,0-9,1,0,1,0,1,1,CC,FO
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,4,Friend,Silver,1535.23,4,0,1,1,1,0,20-29,1,1,1,1,0,0,MC,D
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,1,Online,Bronze,17.63,0,0,0,0,1,0,0-9,0,0,0,0,0,0,BT,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,3,Advertisement,Bronze,42.18,1,0,0,0,1,0,0-9,1,0,0,0,0,0,BT,D
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,5,Advertisement,Gold,6545.17,4,0,1,1,1,0,70-79,1,1,0,1,1,0,BT,FO
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,3,Friend,Bronze,320.47,1,1,0,0,1,1,0-9,1,0,0,0,0,0,EC,FO
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,5,Retail,Gold,3748.35,2,0,0,0,1,1,40-49,1,0,1,0,0,0,CC,FO
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,Friend,Silver,3684.38,4,1,0,0,1,1,30-39,1,0,1,0,1,1,EC,FO
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,2,Retail,Bronze,916.76,4,1,0,0,1,1,10-19,1,0,1,0,1,1,BT,FO
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,4,Online,Bronze,484.99,1,0,1,1,1,0,10-19,1,0,0,0,0,0,MC,D
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,1,Retail,Gold,4710.14,3,0,1,1,1,1,70-79,1,1,0,0,1,0,CC,D
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,4,Retail,Silver,311.90,0,0,1,1,1,0,10-19,0,0,0,0,0,0,MC,No
